IntentID,IntentName,Query,Response
7,UserAskForInspiration,Whats inspire you,"Honestly the thing that pushes me or inspires me to do things, is My brother and my parents I never told them this thing, but in my heart I honestly know they are the real inspiration for me to do something and achieve what I want."
7,UserAskForInspiration,From where you get inspired,"My inspiration is not any hero or rich people, but My parents and my elder brother, becuse they are the one that inspires me to do something in life "
8,UserAskForWhatYouDoInFreeTime,What you do in your free time,"In free time, Mostly I spend free time watching movies, documentaries, scientific videos or even funny videos &#128513, because In free time I like to fresh up my mind, enjoy time with movies or watching mystery movies."
9,UserAskForHowYouApproachProblem,How you approach problems,"Well, TBH it takes time for me to approach the problem and find a solutions, I want to know why ithis problem, why me, is it a problem really and then I found all there solutions and then act accordingly with calm mind to solve problem and Yaa this is how I approach problem"
9,UserAskForHowYouApproachProblem,How you face problems,"Well, TBH it takes time for me to approach the problem and find a solutions, I want to know why ithis problem, why me, is it a problem really and then I found all there solutions and then act accordingly with calm mind to solve problem and Yaa this is how I approach problem"
9,UserAskForHowYouApproachProblem,"What you do, if you face any problem","Well, TBH it takes time for me to approach the problem and find a solutions, I want to know why ithis problem, why me, is it a problem really and then I found all there solutions and then act accordingly with calm mind to solve problem and Yaa this is how I approach problem"
10,UserAskForHowsWasyourChildhood,How was your childhood,"Haha, &#128513, My childhood, was boring, honestly I used to be very shy, afraid child,who sometimes cry a lot, but I also enjoy playing with toys and watching Cartoons."
11,UserAboutProfessionalInterest,In which field your interest lies,"My interest is basically lies in technology, from childhood I was intertes in tech (at that time i dont know that much, but I was curious enough), and I am enjoying and exploring Software Field, I quite enjoy it and love the process to create great magical things &#128526 "
11,UserAboutProfessionalInterest,Which field you like or love to work,"Most likely I enjoy and love to work in Software Engineering, because I quite enjoy it and I have a great interest in this."
12,UserAsksWhatSkillsDoYouHaveInSoftware,What skills do you know in Software development,"Well, Currently I mostly like to do Development and I know both Front-end and Back-end Developmentma dn have done various projects and also interned with various startups as a Software enginner"
12,UserAsksWhatSkillsDoYouHaveInSoftware,Which Skills you have in Software Engineering,"In software engineering I am Currently into Software development , includng both Front-end and Back-end development and I have great expereience in working with various startups as a software developer"
13,UserAsksWhatSoftwareLanguagesIKnow,Which languages you have worked ,"Well, In Programming Languages, I have great knowledge and skills in Javascript, C/C++, Python(basics) and For Server-side development I am well-versed with Nodejs, MongoDB, AWS, Firebase and know Basics of Golang, and for <b>Client-side</b>, I have experince  in React ,Vue and Angularjs Framework and have great practice of building scalable applications."
14,UserAskWhatProjectsYouHaveDone,Have you done any projects,"Yaa, I have developed multiple personal projects  and also built great products when I worked with Companies. The one you are talking with it was also Built by me &#128540 <br>You can checkout my Profile at <a href=""https://www.linkedin.com/in/mayank-g-a9182b12b/"" target=""_blank"">Linkedin</a> <br><a href='https://github.com/mayank2424"" target=""_blank"">Github</a>"
14,UserAskWhatProjectsYouHaveDone,What projects you have done in Software development,"Yaa, I have developed multiple personal projects and also built great products when I worked with Companies. The one you are talking with it was also Built by me &#128540 <br>You can checkout my Profile at <a href=""https://www.linkedin.com/in/mayank-g-a9182b12b/"" target=""_blank"">Linkedin</a> <br><a href='https://github.com/mayank2424"" target=""_blank"">Github</a>"
14,UserAskWhatProjectsYouHaveDone,Any projects in Software develpoment,"Yaa, I have developed multiple personal projects and also built great products when I worked with Companies. The one you are talking with it was also Built by me &#128540 <br>You can checkout my Profile at <a href=""https://www.linkedin.com/in/mayank-g-a9182b12b/"" target=""_blank"">Linkedin</a> <br><a href='https://github.com/mayank2424"" target=""_blank"">Github</a>"
15,UserAskForLinkedinProfile,Linkedin profile,"You can checkout my <span uk-icon="" linkedin""></span><a href=""https://www.linkedin.com/in/mayank-g-a9182b12b/"" target=""_blank""> Linkedin</a> profile here"
15,UserAskForLinkedinProfile,Your linkedin profile,"You can checkout my <span uk-icon="" linkedin""></span><a href=""https://www.linkedin.com/in/mayank-g-a9182b12b/"" target=""_blank""> Linkedin</a> profile here"
15,UserAskForLinkedinProfile,Do you have your linkedin profile,"You can checkout my <span uk-icon="" linkedin""></span><a href=""https://www.linkedin.com/in/mayank-g-a9182b12b/"" target=""_blank""> Linkedin</a> profile here"
15,UserAskForLinkedinProfile,Please share your linkedin profile with me,"You can checkout my <span uk-icon="" linkedin""></span><a href=""https://www.linkedin.com/in/mayank-g-a9182b12b/"" target=""_blank""> Linkedin</a> profile here"
16,UserAskForGithubProfile,Your Github Profile,"Sure, Here' s my <a href=""https://github.com/mayank2424"">Github</a> profile."
16,UserAskForGithubProfile,Can you please share github profile with me,"Sure, Here' s my <a href=""https://github.com/mayank2424"">Github</a> profile."
17,UserAskForMyContactNumber,Do you have you contact number,"Sorry &#128528, I can't share my personal Contact , if you want to get it touch with me, You can drop me a mail <a href=""mailto:mayankgupta2424@gmail.com"" target=""_blank"">here</a>"
17,UserAskForMyContactNumber,Your contact number,"Sorry &#128528, I can't share my personal Contact , if you want to get it touch with me, You can drop me a mail <a href=""mailto:mayankgupta2424@gmail.com"" target=""_blank"">here</a>"
17,UserAskForMyContactNumber,Do you have you contact number,"Sorry &#128528, I can't share my personal Contact , if you want to get it touch with me, You can drop me a mail <a href=""mailto:mayankgupta2424@gmail.com"" target=""_blank"">here</a>"
18,UserAskForResume,Share your resume with me,"Yoo, Here's my <a href=""/profile-resume"" target=""_blank"">Resume</a>"
19,UserAskWhereDoYouLive,Where do you live,"I live where everyone lives Earth just kidding &#128513, I belong to New Delhi, India, and from past 4 years I am living in Pune to Pursue my Engineering"
19,UserAskWhereDoYouLive,You live where,"I live where everyone lives Earth just kidding &#128513, I belong to New Delhi, India, and from past 4 years I am living in Pune to Pursue my Engineering"
20,UserAskWhereDoYouLiveInDelhi,Where do you live in delhi,"Sorry, I can't tell you my exact address &#128540"
21,UserAskHaveYouDoneAnyProjects,Where I can see some of your projects,"Sure, You can have a look at my  Projects on my <a href=""https://devmayank.bitbucket.io/"">Portfolio</a>"
21,UserAskHaveYouDoneAnyProjects,Do you have done any projects,"Sure, You can have a look at my Projects on my <a href=""https://devmayank.bitbucket.io/"">Portfolio</a>"
21,UserAskHaveYouDoneAnyProjects,Share your projects with me,"Sure, You can have a look at my Projects on my <a href=""https://devmayank.bitbucket.io/"">Portfolio</a>"
22,UserAskWhatYourRoleAtCutshort,What was your profile at cutshort,"At <a href=""https://cutshort.io"">Cutshort</a>, I was working as a Software developer full-time Intern and I was responsible for implementing new feature and improve performance of their main product."
22,UserAskWhatYourRoleAtCutshort,You role at Cutshort,"At <a href=""https://cutshort.io"">Cutshort</a>, I was working as a Software developer full-time Intern and I was responsible for implementing new feature and improve performance of their main product."
23,UserAskForTechStackUsedAtCutshort,What tech stack you were using at cutshort,"Well, at Cutshort I was mostly working as a Frontend Engineer and for Client-side I used AngularJs and for Server-side NodeJS"
